topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T7,LO3a_1,ER5b_1_4,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3a_1,ER5c_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3a_1,ER5c_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3a_1,ER5c_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3a_1,ER5c_1_4,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3b_1,ER6a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3b_1,ER6b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3b_1,ER6b_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3c_1,ER7a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3c_1,ER7a_1_2,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3c_1,ER7a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3c_1,ER7b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3c_1,ER7b_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3c_1,ER7b_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3d_1,ER8a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3d_1,ER8a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3d_1,ER8b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3d_1,ER8b_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3d_1,ER8b_1_3,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3e_1,ER9a_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9a_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9a_1_5,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9b_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9b_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3e_1,ER9b_1_4,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3e_1,ER9b_1_5,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3f_1,ER10a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3f_1,ER10a_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3f_1,ER10a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3f_1,ER10b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3f_1,ER10b_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3f_1,ER10b_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3f_1,ER10b_1_4,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3f_1,ER10b_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3f_1,ER10c_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3f_1,ER10c_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11a_1_1,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3g_1,ER11a_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11b_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11b_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11b_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3g_1,ER11b_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3h_1,ER12a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12a_1_4,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12a_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12b_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12b_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12c_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3h_1,ER12c_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12c_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12c_1_4,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12c_1_5,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12d_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3h_1,ER12d_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3h_1,ER12d_1_3,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3i_1,ER13a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3i_1,ER13a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3i_1,ER13a_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3i_1,ER13a_1_4,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3i_1,ER13a_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3i_1,ER13b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3i_1,ER13b_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3i_1,ER13b_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3i_1,ER13c_1_1,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO3i_1,ER13c_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4a_1,ER14a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14a_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14a_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14b_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14b_1_3,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4a_1,ER14b_1_4,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14c_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4a_1,ER14c_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4a_1,ER14c_1_3,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4b_1,ER15a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4b_1,ER15a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4b_1,ER15b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO4c_1,ER16a_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO4c_1,ER16a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4c_1,ER16b_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4c_1,ER16b_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4c_1,ER16c_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4c_1,ER16c_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4c_1,ER16c_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4c_1,ER16c_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4c_1,ER16c_1_5,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17a_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO4d_1,ER17a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17a_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17a_1_5,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17b_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4d_1,ER17b_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4d_1,ER17b_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17c_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4d_1,ER17c_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17c_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17c_1_4,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4d_1,ER17c_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4e_1,ER18a_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO4e_1,ER18a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4e_1,ER18a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4e_1,ER18a_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4e_1,ER18a_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4e_1,ER18b_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4e_1,ER18b_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4f_1,ER19a_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO4f_1,ER19a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4f_1,ER19a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4g_1,ER20a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4g_1,ER20a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4g_1,ER20b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4g_1,ER20b_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4g_1,ER20b_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4h_1,ER21a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4h_1,ER21a_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21a_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4h_1,ER21a_1_5,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21b_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21c_1_1,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO4h_1,ER21c_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21c_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21c_1_4,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4h_1,ER21c_1_5,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4i_1,ER22a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4i_1,ER22a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4i_1,ER22a_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4i_1,ER22b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4j_1,ER23a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4j_1,ER23a_1_2,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4j_1,ER23a_1_3,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4j_1,ER23a_1_4,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4j_1,ER23a_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4j_1,ER23b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4j_1,ER23b_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4j_1,ER23b_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4k_1,ER24a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO4k_1,ER24a_1_2,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4k_1,ER24a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO4k_1,ER24b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
